x-axis,1,2,F1
second,Volt,Ampere,Watt
+219.45000E-03,-25.87939758E+00,-3.49748740E+00,+84.32006836E+00
+219.47500E-03,-24.12060356E+00,-3.49748740E+00,+84.32006836E+00
+219.50000E-03,-16.08040237E+00,-3.49748740E+00,+84.32006836E+00
+219.52500E-03,-16.08040237E+00,-3.47613062E+00,+69.37217714E+00
+219.55000E-03,-9.79899520E+00,-3.45728640E+00,+55.57250977E+00
+219.57500E-03,-8.04020119E+00,-3.45728640E+00,+27.81105041E+00
+219.60000E-03,-8.04020119E+00,-3.41708539E+00,+27.80151367E+00
+219.62500E-03,+0.0E+00,-3.39572861E+00,+13.04817202E+00
+219.65000E-03,+8.04020119E+00,-3.41708539E+00,+30.51758E-03
+219.67500E-03,+8.04020119E+00,-3.37688439E+00,-818.25254E-03
+219.70000E-03,+8.04020119E+00,-3.37688439E+00,-27.43530273E+00
+219.72500E-03,+16.08040237E+00,-3.37688439E+00,-27.13012695E+00
+219.75000E-03,+17.83919639E+00,-3.33668338E+00,-53.61938477E+00
+219.77500E-03,+23.86934728E+00,-3.33668338E+00,-53.61938477E+00
+219.80000E-03,+24.12060356E+00,-3.29648238E+00,-60.45913694E+00
+219.82500E-03,+24.12060356E+00,-3.29648238E+00,-79.49829102E+00
+219.85000E-03,+32.16080475E+00,-3.25628137E+00,-78.52172852E+00
+219.87500E-03,+32.41206103E+00,-3.21608037E+00,-104.64477539E+00
+219.90000E-03,+32.16080475E+00,-3.21608037E+00,-103.36303711E+00
+219.92500E-03,+36.43216162E+00,-3.17587936E+00,-102.68211365E+00
+219.95000E-03,+40.20100594E+00,-3.17587936E+00,-127.59399414E+00
+219.97500E-03,+48.24120712E+00,-3.13567836E+00,-126.05667114E+00
+220.00000E-03,+50.50251370E+00,-3.10678389E+00,-151.21459961E+00
+220.02500E-03,+56.28140831E+00,-3.07663313E+00,-149.26147461E+00
+220.05000E-03,+56.28140831E+00,-3.05527635E+00,-166.47720335E+00
+220.07500E-03,+56.28140831E+00,-3.01507534E+00,-169.65675354E+00
+220.10000E-03,+62.06030292E+00,-2.97487434E+00,-169.58618164E+00
+220.12500E-03,+68.09045381E+00,-2.97487434E+00,-191.25366211E+00
+220.15000E-03,+72.36181068E+00,-2.93467334E+00,-212.24975586E+00
+220.17500E-03,+72.61306697E+00,-2.89447233E+00,-209.32006836E+00
+220.20000E-03,+80.40201187E+00,-2.85427133E+00,-215.86036680E+00
+220.22500E-03,+84.67336875E+00,-2.83542711E+00,-229.40063477E+00
+220.25000E-03,+88.44221306E+00,-2.81407032E+00,-231.10580446E+00
+220.27500E-03,+96.48241425E+00,-2.77386932E+00,-245.20874023E+00
+220.30000E-03,+96.48241425E+00,-2.76256278E+00,-261.22093202E+00
+220.32500E-03,+100.75377112E+00,-2.69346731E+00,-261.56616211E+00
+220.35000E-03,+98.24120826E+00,-2.68467334E+00,-259.73510742E+00
+220.37500E-03,+104.77387171E+00,-2.65326630E+00,-277.19116211E+00
