x-axis,F1
Hertz,decibel
+127.0000E+00,-83.99087E+00
+127.2500E+00,-78.50016E+00
+127.5000E+00,-80.85489E+00
+127.7500E+00,-86.44865E+00
+128.0000E+00,-85.14019E+00
+128.2500E+00,-78.47412E+00
+128.5000E+00,-78.26383E+00
+128.7500E+00,-82.77897E+00
+129.0000E+00,-92.45691E+00
+129.2500E+00,-80.38284E+00
+129.5000E+00,-81.88179E+00
+129.7500E+00,-81.82971E+00
+130.0000E+00,-77.62215E+00
+130.2500E+00,-80.73302E+00
+130.5000E+00,-77.74991E+00
+130.7500E+00,-75.95154E+00
+131.0000E+00,-76.61101E+00
+131.2500E+00,-87.39036E+00
+131.5000E+00,-108.67409E+00
+131.7500E+00,-95.07939E+00
+132.0000E+00,-81.24358E+00
+132.2500E+00,-87.36711E+00
+132.5000E+00,-79.51649E+00
+132.7500E+00,-80.63583E+00
+133.0000E+00,-84.96364E+00
+133.2500E+00,-81.76679E+00
+133.5000E+00,-86.16291E+00
+133.7500E+00,-77.69720E+00
+134.0000E+00,-77.19630E+00
+134.2500E+00,-84.55961E+00
+134.5000E+00,-84.01536E+00
+134.7500E+00,-81.75733E+00
+135.0000E+00,-81.57495E+00
+135.2500E+00,-82.81450E+00
+135.5000E+00,-92.45213E+00
+135.7500E+00,-83.91783E+00
+136.0000E+00,-87.83303E+00
+136.2500E+00,-85.93383E+00
+136.5000E+00,-92.13404E+00
+136.7500E+00,-80.91179E+00
+137.0000E+00,-80.79367E+00
+137.2500E+00,-85.03012E+00
+137.5000E+00,-81.64952E+00
+137.7500E+00,-86.95366E+00
+138.0000E+00,-93.35174E+00
+138.2500E+00,-94.76464E+00
+138.5000E+00,-99.21613E+00
+138.7500E+00,-83.87680E+00
+139.0000E+00,-88.22912E+00
+139.2500E+00,-82.39374E+00
+139.5000E+00,-83.17953E+00
+139.7500E+00,-80.34531E+00
+140.0000E+00,-82.04691E+00
+140.2500E+00,-79.26637E+00
+140.5000E+00,-81.65216E+00
+140.7500E+00,-81.40949E+00
+141.0000E+00,-78.04937E+00
+141.2500E+00,-70.78106E+00
+141.5000E+00,-73.00216E+00
+141.7500E+00,-81.30567E+00
+142.0000E+00,-91.85520E+00
+142.2500E+00,-82.38080E+00
+142.5000E+00,-82.83154E+00
+142.7500E+00,-82.81330E+00
+143.0000E+00,-78.50926E+00
+143.2500E+00,-73.21368E+00
+143.5000E+00,-100.72061E+00
+143.7500E+00,-77.33009E+00
+144.0000E+00,-76.53544E+00
+144.2500E+00,-89.78515E+00
+144.5000E+00,-90.75963E+00
+144.7500E+00,-89.26045E+00
+145.0000E+00,-84.06434E+00
+145.2500E+00,-80.11071E+00
+145.5000E+00,-78.55770E+00
+145.7500E+00,-87.47500E+00
+146.0000E+00,-76.92600E+00
+146.2500E+00,-78.87692E+00
+146.5000E+00,-84.69111E+00
+146.7500E+00,-91.17546E+00
+147.0000E+00,-88.88235E+00
+147.2500E+00,-77.13670E+00
+147.5000E+00,-80.64267E+00
+147.7500E+00,-100.99482E+00
+148.0000E+00,-77.38947E+00
+148.2500E+00,-80.69387E+00
+148.5000E+00,-71.17827E+00
+148.7500E+00,-76.67871E+00
+149.0000E+00,-60.99869E+00
+149.2500E+00,-49.05436E+00
+149.5000E+00,-46.11000E+00
+149.7500E+00,-13.65108E+00
+150.0000E+00,-7.91032E+00
+150.2500E+00,-24.57286E+00
+150.5000E+00,-44.36629E+00
+150.7500E+00,-58.45747E+00
+151.0000E+00,-65.35485E+00
+151.2500E+00,-66.94238E+00
+151.5000E+00,-73.88162E+00
+151.7500E+00,-74.81975E+00
+152.0000E+00,-77.67980E+00
+152.2500E+00,-78.31186E+00
+152.5000E+00,-79.32847E+00
+152.7500E+00,-71.18136E+00
+153.0000E+00,-73.54905E+00
+153.2500E+00,-82.19390E+00
+153.5000E+00,-80.15787E+00
+153.7500E+00,-75.92400E+00
+154.0000E+00,-81.51720E+00
+154.2500E+00,-84.02776E+00
+154.5000E+00,-81.23382E+00
+154.7500E+00,-82.61153E+00
+155.0000E+00,-82.07010E+00
+155.2500E+00,-77.58266E+00
+155.5000E+00,-76.87086E+00
+155.7500E+00,-80.54658E+00
+156.0000E+00,-83.95379E+00
+156.2500E+00,-80.30347E+00
+156.5000E+00,-77.17314E+00
+156.7500E+00,-81.86059E+00
+157.0000E+00,-77.87306E+00
+157.2500E+00,-78.75637E+00
+157.5000E+00,-81.87013E+00
+157.7500E+00,-86.13799E+00
+158.0000E+00,-88.34789E+00
+158.2500E+00,-83.23123E+00
+158.5000E+00,-80.30633E+00
+158.7500E+00,-78.03319E+00
+159.0000E+00,-75.14732E+00
+159.2500E+00,-79.05269E+00
+159.5000E+00,-75.48891E+00
+159.7500E+00,-74.80765E+00
+160.0000E+00,-75.06363E+00
+160.2500E+00,-83.37926E+00
+160.5000E+00,-84.30962E+00
+160.7500E+00,-83.87165E+00
+161.0000E+00,-81.29135E+00
+161.2500E+00,-79.40252E+00
+161.5000E+00,-84.46652E+00
+161.7500E+00,-81.13208E+00
+162.0000E+00,-79.20730E+00
+162.2500E+00,-78.70181E+00
+162.5000E+00,-80.32747E+00
+162.7500E+00,-78.62440E+00
+163.0000E+00,-84.21568E+00
+163.2500E+00,-77.27335E+00
+163.5000E+00,-86.78971E+00
+163.7500E+00,-80.85963E+00
+164.0000E+00,-83.09327E+00
+164.2500E+00,-81.43903E+00
+164.5000E+00,-83.60799E+00
+164.7500E+00,-74.15947E+00
+165.0000E+00,-70.88520E+00
+165.2500E+00,-74.99860E+00
+165.5000E+00,-99.50504E+00
+165.7500E+00,-85.38017E+00
+166.0000E+00,-80.95787E+00
+166.2500E+00,-81.83117E+00
+166.5000E+00,-77.80321E+00
+166.7500E+00,-81.19612E+00
+167.0000E+00,-88.17448E+00
+167.2500E+00,-75.25007E+00
+167.5000E+00,-81.65894E+00
+167.7500E+00,-91.26192E+00
+168.0000E+00,-84.55997E+00
+168.2500E+00,-76.75992E+00
+168.5000E+00,-75.44364E+00
+168.7500E+00,-80.37626E+00
+169.0000E+00,-85.99622E+00
+169.2500E+00,-78.83962E+00
+169.5000E+00,-81.89074E+00
+169.7500E+00,-81.26911E+00
+170.0000E+00,-83.79795E+00
+170.2500E+00,-86.51853E+00
+170.5000E+00,-82.59332E+00
+170.7500E+00,-90.87482E+00
+171.0000E+00,-85.80038E+00
+171.2500E+00,-82.05744E+00
+171.5000E+00,-79.67668E+00
+171.7500E+00,-79.25358E+00
+172.0000E+00,-77.39641E+00
+172.2500E+00,-80.81479E+00
+172.5000E+00,-90.28027E+00
+172.7500E+00,-78.40515E+00
+173.0000E+00,-83.28677E+00
+173.2500E+00,-79.63746E+00
+173.5000E+00,-80.35776E+00
+173.7500E+00,-84.46735E+00
+174.0000E+00,-82.39018E+00
+174.2500E+00,-75.79984E+00
+174.5000E+00,-78.73923E+00
+174.7500E+00,-94.60985E+00
+175.0000E+00,-87.47403E+00
+175.2500E+00,-89.40539E+00
+175.5000E+00,-87.94394E+00
+175.7500E+00,-80.10825E+00
+176.0000E+00,-78.56890E+00
+176.2500E+00,-90.00222E+00
+176.5000E+00,-80.48185E+00
+176.7500E+00,-83.36930E+00
+177.0000E+00,-81.69065E+00
+177.2500E+00,-81.69701E+00
+177.5000E+00,-81.76947E+00
+177.7500E+00,-77.20390E+00
+178.0000E+00,-79.32909E+00
+178.2500E+00,-80.34512E+00
+178.5000E+00,-80.02930E+00
+178.7500E+00,-83.70697E+00
+179.0000E+00,-83.40532E+00
+179.2500E+00,-95.75424E+00
+179.5000E+00,-82.43332E+00
+179.7500E+00,-82.57512E+00
+180.0000E+00,-80.17989E+00
+180.2500E+00,-86.95736E+00
+180.5000E+00,-79.17034E+00
+180.7500E+00,-80.54334E+00
+181.0000E+00,-88.98928E+00
+181.2500E+00,-79.19882E+00
+181.5000E+00,-84.50936E+00
+181.7500E+00,-85.34001E+00
+182.0000E+00,-80.11368E+00
+182.2500E+00,-78.55226E+00
+182.5000E+00,-83.42578E+00
+182.7500E+00,-81.57535E+00
+183.0000E+00,-87.91636E+00
+183.2500E+00,-90.45534E+00
+183.5000E+00,-87.03304E+00
+183.7500E+00,-88.21355E+00
+184.0000E+00,-84.35824E+00
+184.2500E+00,-80.24811E+00
+184.5000E+00,-85.04619E+00
+184.7500E+00,-86.64210E+00
+185.0000E+00,-86.12098E+00
+185.2500E+00,-80.89439E+00
+185.5000E+00,-82.50145E+00
+185.7500E+00,-91.12200E+00
